i,rel_err,angle_err_deg
449,0.1521488357501632,6.038759288529869
450,0.15231313855739462,6.063917208052745
451,0.15239306777151285,6.07011892350615
452,0.1527380915215538,6.073533836537708
453,0.1532860510058455,6.087503943663466
454,0.1535160278151463,6.126204639456526
455,0.15402586521271527,6.1457197391354175
456,0.15405503408250856,6.155129719648904
457,0.1551023543023183,6.162923932026867
458,0.1553647922170795,6.166970193987076
459,0.15536751437878346,6.171899563583724
460,0.15538547841831252,6.172506876033235
461,0.15542809611887004,6.177678962539395
462,0.15553514793550596,6.184867163900047
463,0.15592930886434958,6.210630192840544
464,0.1560857743912717,6.24510039021256
465,0.1569792762444121,6.2568969648285995
466,0.15741205774831105,6.2687314527143485
467,0.1580772189129769,6.269511539002301
468,0.1581451335616949,6.278963192718351
469,0.1585364797178087,6.280223398067498
470,0.15954025292984494,6.292709602262442
471,0.15959503067484768,6.297490638706045
472,0.15961746030630872,6.310760694589499
473,0.15965237716445216,6.3224589374983315
474,0.15970479667092116,6.329348855016399
475,0.15980431157994238,6.333385633653455
476,0.16031122540405893,6.338984756682196
477,0.16050518744612147,6.341469286750202
478,0.16056698263144406,6.345876047130574
479,0.1605676312973957,6.365153695984572
480,0.1606856352704975,6.3683608883614005
481,0.1607513600952253,6.375773426241859
482,0.1610427570597011,6.3799644692756425
483,0.16156915033586314,6.389676621379669
484,0.16250212092861113,6.400142669393962
485,0.16314388180844278,6.409535672513492
486,0.16326188204527806,6.41379458358242
487,0.16352688967112278,6.428919558206711
488,0.16431636059366786,6.48764123233997
489,0.16431860970228124,6.531443299004267
490,0.16435389954565724,6.579251682679253
491,0.1644302097411698,6.60234777810226
492,0.16444423891467763,6.611997506359714
493,0.16459607055421932,6.635962322785423
494,0.16511322266119174,6.637376384630655
495,0.16520268189964488,6.656656476481
496,0.16525225345780903,6.6694353626157445
497,0.16533344400941694,6.678328519024131
498,0.1657196844180943,6.687175720136349
499,0.16580464791950147,6.694191666098194
500,0.16604977380588962,6.704722475602452
501,0.16665590720425896,6.733600515537003
502,0.16729991783256934,6.738543100922296
503,0.1677163583793018,6.752607686580124
504,0.1683550032178159,6.7858689115403115
505,0.16888006490558868,6.796686494462436
506,0.16947418739721282,6.827258462443232
507,0.1699073984874885,6.888761585921706
508,0.1703595061271032,6.889179010060144
509,0.17038887860281193,6.947742059471563
510,0.17050148616952104,6.951618394217855
511,0.17064085574944796,6.974007911036139
512,0.17081797165324833,6.9956887181759
513,0.17153112793508446,7.011675454641936
514,0.17197625385704085,7.022331261152267
515,0.1723844765421659,7.040064331796941
516,0.1725731074471709,7.051997731985515
517,0.17295170885864058,7.061593380007963
518,0.1732521909957642,7.065573561910563
519,0.17427757034647245,7.086357003376918
520,0.17434973424099925,7.121880454130039
521,0.17493784646067687,7.134868735213014
522,0.17542778623949432,7.1354984846043195
523,0.17558575600322854,7.163992288328981
524,0.1757245896066676,7.213730088622154
525,0.17603469224617718,7.230250082246531
526,0.17627470124462208,7.2482088560844256
527,0.1765471778263359,7.258894262277588
528,0.17728524718531807,7.261730480809197
529,0.17816995682349862,7.271296972937861
530,0.1782456725695743,7.302032767108399
531,0.17835037406398868,7.330088233059152
532,0.1784087330132953,7.350042173403426
533,0.17845558816705256,7.363040312149693
534,0.17863884811896313,7.369383486202323
535,0.17868464986526533,7.395857319972408
536,0.1794696198677131,7.477881605280145
537,0.17952929301797121,7.544105418761777
538,0.17960067164290533,7.562926736843375
539,0.18000408473320528,7.568427742659914
540,0.18121677861592317,7.61868049794933
541,0.18142128943106312,7.62470509958652
542,0.18158373875717612,7.639035742403363
543,0.18235777307683776,7.652300056901867
544,0.18271843366202695,7.655945574893315
545,0.18315381614569481,7.6615297159377365
546,0.1835513811069245,7.664068139726466
547,0.18365999656467227,7.665088171068085
548,0.18386113670631635,7.6813793373580515
549,0.18465617717901256,7.690505273859256
550,0.18525497192187929,7.694205957511555
551,0.18553280154450105,7.708960499988131
552,0.18661805868891349,7.730490758738273
553,0.1868622201223429,7.732221119275484
554,0.18787022152601987,7.765486857964046
555,0.18792298393159676,7.777779833100027
556,0.18800710477757426,7.792484485632627
557,0.18816287052623024,7.81755412612847
558,0.18850663343884377,7.895885859720028
559,0.1893211155464418,7.928595979611663
560,0.18945636346051395,7.960558480044429
561,0.18985941048556315,8.020188822408027
562,0.18991688781033694,8.02580743218235
